user,sentiment,topic,comment_text
@carlosue5472,0.0,0,"Man, myth, legend."
@abduraheemm.2530,0.5255,0,"Krasava!
Respect."
@polinaball542,0.6696,0,I love this man!
@primepete,0.0,0,Based Elon.
@paulcontreras3264,0.8313,0,Love Free Speech!
@Justin-Outdoors,0.2023,2,When the speaker silences the audience then something important was said
@thechampmanaddme.6431,-0.5267,1,"Bad reporter/interviewer , he broke character that easy"
@johncarton3023,0.3612,2,Aaaaaand I like Elon even more now.
@MelonHusk7,0.0,1,Hey Bob
@beckyconstantinides2546,0.4574,1,"he is  ‘ ucking himself, clearly!"
@maxtemelkuran4235,0.0,0,Elon musk's r tarted
@jdpragmatic8644,0.4062,2,I love seeing the interviewer’s brain just go blue screen.  He really has no idea where to go from that.
@E-E.ADVENTUREGEARS,-0.5106,0,HE'S SICK OF ZIONISTS
@poom641,-0.2263,2,"The  ''interviewer'' Andrew Ross was so SMARMY 
    So much worming and weirdness from Ross."
@lordlidl6713,0.2732,0,Serieus pre-schooler energy coming from Elon
@klipk7296,-0.1779,1,"This just in: Elon is still a manchild, and people still take him seriously because money"
@Keeganismyfirstname,0.7003,2,He gets better and better..
@sasa051,0.4215,0,"Finally i can go back to social media. Got sick of degeneracy, thanks to elon I can  get back safely."
@RafeCruise,0.0,0,Unhinged
@valterreboredo,0.5538,1,"Disney clearly needs to be Elon ""Musked""!!!"
@OutBackSmallEngine,0.0,1,Is x still a thing ???. I dont know anyone who's still using it. Its so whats the word ???? Oh ya common
@billdurant3560,0.6369,0,Man do I love my Starlink
@karlayvonne4048,0.6696,0,LOVE HIM!
@mikecronis,0.5574,1,This guy's a hero
@duckcensorship7446,0.2905,2,"Is this strange guy actually doing a genuine ""Gerald Ratner"" right now?! That didn't work out too well for Gerald!!"
@gabrielmontenegro-ny3ng,0.34,0,Elon musk is badass
@billyje4726,-0.7776,1,"Seriously, what is wrong with this guy! Megalomania and Antisemitism is not a good mix!"
@dave13dc,0.6808,1,"He’s thrown into neutral because he didn’t get the huge and wild cheering he expected.
He’s looking around, bewildered, because all he got was shuffling and very faint sniggering.
Diddums."
@nhmooytis7058,0.0,2,Will never get old!
@unoriginalname4321,0.2732,2,This will end well.
@daveycrocket1306,0.8271,1,awesome. Musk has become many people’s hero
@lhays117,-0.2441,2,He probably had a few too many lines of ket before this interview and was dissociating from his body and better judgment when he said this dumb BS.
@ash3002,-0.7003,2,"Musk has a disorganized attachment style. It develops due to childhood trauma and abuse by caregivers. One main trait is mood swings due to intense emotions and inability to regulate them in a healthy manner. It is an uncommon attachment style and it shares traits with BPD. It can be healed with self-awareness, healing childhood trauma, and learning tools to regulate intense feelings."
@irvingwashington8638,0.9152,0,This is a great guy righ there. Kudos to Elon Musk. Free speech is more important than some partisan approach.
@neildees1761,0.6369,1,I love this man more and more every day.
@garyhov6259,0.4574,1,I need to watch this first thing every morning to give me that boost I need for the day!
@renaissance21,0.4019,2,People call this guy smart?
@1pct.trader,0.3612,1,elon like a boss
@greatestlivingamericaninve1245,0.6369,0,Best moment ever
@xstratosfearx,0.0,1,hey bob
@Deathscythe91,-0.34,1,when ice wizards try to fck over a fire wizard to find out he has 100% ice resistance
@tedtaterchipkedzierski1539,0.6369,0,Elon is the best
@adamsadventures9919,0.7712,1,I finally have a true hero!
@dsds3968,-0.0191,1,It doesn't matter any more anyway because Twitter is not relevant any more.
@honeybeebadger,0.1531,2,It’s clear that X will go bankrupt that much is clear
@SpaceCoffee700,-0.5023,2,"Not my money but it was worth it to make the chronically online X users go nuts 


Wish he bought all of social media to ruin it 

Go touch grass"
@JT24700,0.0,1,Hey bob!
@defaultsettings63,-0.7717,2,This should be everyone's attitude towards woke authoritarians in general. Stop putting up with this bullshit.
@markzola8142,0.0,0,Legend
@Smoke1322-b3r,0.9652,0,Hahaha I love him he's awesome he's my best friend
@Lifewith_charlotte_,0.0,1,The South African in him came out
@craigmcdonald8856,0.0,0,Legendary
@Dewster_42,0.0,0,
@goroakechi8577,-0.4404,0,"So basically Elon Musk is Reed Richards
The Advertisers are Wanda Maximoff
And this a Multiverse of Madness"
@JF-nh7fd,0.4019,0,YES
@WesternAmerican2,0.0,0,Legend
@leonidas7692,0.4404,2,The biggest advert for X yet. This will make it an attractive platform for … advertising…
@Nietje369,0.8301,0,Hallo E- Musk mijn lievelings geurtje al vanaf mijn 16 jr..... Ik zou heel graag als EERSTE met een  HUMAN ROBOT Touwen in Nederland En daar mee door heel EUROPA willen reizen ... Om daarmee Mensen daardoor kennis te laten maken met mijn man ..AI - MAN  en  A - NIETJE  ENERGY  Ik hoop van u te horen  ONE LOVE A-NIETJE
@rimservices,0.4215,0,And now FT writes they crawl back to seek favours with Musk and Trump
@im_creative1,0.0,0,"""I am Iron Man""   
""I am Elon Musk"""
@williamharnois254,0.0,0,What a legend
@byronhotchkiss3254,0.0258,1,what a goddam hero
@50kgbrain,-0.5267,1,I knew something was wicked aboot this guy. He's ½ Hawaiian Pizza.
@360ooutdoor3,0.6973,1,Hahaha THAT's it man!!!!
@PagIiacci,-0.4404,0,the horseshoe theory is tired of being proven correct
@dnakatomiuk,0.3612,1,Musk is like the normal person who would say exactly that if they were getting blackmailed by advertisers
@banjammy4116,0.5229,2,I'm starting to like this guy!!!
@rablab305,0.0,0,"What a man 
Bravo Bro"
@MattDoesLife539,0.0,1,"Now 1 year later, all these same advertisers are back on X."
@brovid-19,-0.6486,2,"Everyone thinks he's fighting ""the man"".  

No, he's literally just throwing a tantrum."
@kennyrowe8337,0.0,0,Is this “exhibit A”?
@petertimowreef9085,-0.4372,2,Aaah he acted so tough back then hahaha he went to bed that night thinkin he so bad
@XxPHILTHYJAYxX,0.6369,2,He’s been hanging with Joe Rohan to much I love it ahah
@kallolkumar1037,-0.1027,1,The Telegraph having a hard time gulping that up while live off their time all by advertisers rather than readership
@sunflower-oo1ff,0.8507,1,"Yeah for Elon !! I never watch this channel, but for sure I will support Elon here !!"
@mchelewashington2024,0.2732,2,Well he's the kind of person who has so much money he can do and say anything.
@DanParent-e7n,0.0,0,#ElonIsWeird
@TheBakuganmaster99,0.0,2,The host doesn't know what to say.
@Choknox,-0.4939,0,Arrogant.
@ianesterhuizen9179,0.5951,0,F**K yes!!!!!
@rufus5208,0.0,1,hi bob
@BangingMash,0.802,1,"Wow, a lot of cope in the comments. He knows what he’s doing - if he didn’t, he wouldn’t be the richest man on the planet."
@samjohnson4014,0.0,1,Hi bob
@jamesread11,0.0,2,Woke brains exploding at this
@MelLani-nn9vn,-0.2263,2,New cool thing to say to haters
@bobbytheblade2550,0.6696,0,"Love It!
It's about time."
@millerk20,0.0,0,Exhibit A.
@maxjames00077,0.0,2,This is why i dont drive a Tesla and never will.
@kennyrowe8337,0.0,1,That didnt age well….
@Flokeeylo,-0.3182,2,The man is confused because he is a Beta. He is a little sheep who follows and does what he's told. The other guy is spot on.
@cynsabonorris1924,0.2732,0,hahaha Elon wanted applause and got dead silence. he's so mortified. .
@richardkoontz831,-0.296,2,I can’t stop watching.. I signed up for X premium subscription after the first viewing
@FireBladeRR-RSP,0.0,1,"When money isn’t everything!!!
F the main stream wokesters"
@Elshanali1,0.0,0,Few months later....
@julianrodriguezlopez5272,0.0,0,Akward silence
@thebest-ce3pb,0.6478,1,Even though I understand english very well ...elon musk made me think I have to corect myself looking up the word blackmail.....but I figured out I understand english better than elon musk ......I think he really don't know what blackmail means ....rather he should have put the right word for that expression.
@genoman4606,0.0,2,go Elon
@aaaaaaxaaaaaa,0.4939,2,"At the trial all they have to do is play this little clip and just say ""your honor I arrest my case"""
@YixiangWang-l8q,0.0,1,"He is on something, right?"
@ed.polinski,0.5255,0,Big Balls Elon against corporate mafia. Ultimate respect!
@atienzo98,0.0,0,Elon #1 !!!
@warmbreeze7996,0.0,0,"""but..."""
@artphreak1,0.4404,1,"This is sooooo good. 
“Hey Bob”"
@dannysullivan3951,0.5267,0,"Tee hee, watching Elon set fire to his own reputation as a ‘genius’ is fab entertainment."
@AC-Ninja,0.5821,2,God bless this guy. So many people hate him and it blows my mind that they don't realize how crazy that is. He may have single handedly saved America and people don't even realize it yet
@ZanderTheBoi,-0.2766,2,he has such an inflated ego that he can’t handle any criticism it’s so sad lmao
@bertrx-7406,0.0,0,Genuine!
@nhfanful,-0.34,2,"Another Elon L, crazy we all thought of him as a irl Tony Stark at one point."
@michigandogman4,0.0,0,BASED
@scottiehall8695,0.6369,0,Elon is a beast.  I love him.
@iportega9914,0.816,2,WELL SAID!!!! LOVE ELON MUSK
@RazorSharp_313,0.8316,1,"This video alone - makes Elon the man. Your going to try and blackmail me with ""MONEY"" ---- Thats the best Joke ever told to the worlds Richest man."
@ScottSummers-m5l,0.2732,2,Well put statement and accurate prediction all at once.
@OmarFaruqTuhin,0.5719,0,Excellent
@newdrew2744,0.0,2,"The media is twisting this clip again by saying Musk said this ""Just because advertisers pulled spending"""
@lauren2882,0.4588,0,Refreshing and satisfying.
@skylardodoe7982,0.0,1,Lynard Bob present
@p77ws,-0.7351,1,"Guys, Elon Musk is suing advertisers because he claims they've conspired via GARM to boycott X, costing billions in ad revenue. It's not just about them leaving; he's alleging antitrust violations due to coordinated action after his Twitter takeover. This isn't just a reaction to him telling advertisers off; it's about challenging how they control ad spending to influence content"
@sumaika1003,0.3612,1,This is right time for Muslim media be young like motaz and  alon musk  otherwise time  start for u  and your kings without  crown   me we and all communities of the world with phelestins
@jsbaltimore3405,0.6369,0,Love Elon Musk. My next car will be a Tesla and I’ve already paid for my X subscription. I’m forever on board with Elon Musk.
@Thomas-tq1wz,0.0,0,Legend. Total Legend.
@astrafaan,0.7531,0,Just YES :)
@annewhitehurst3626,0.7003,1,I've seen this several times & kudos to Mr. ELON MUSK for telling it like it is.  that man. 🇺🇸
@TheDeconstructivist,0.6858,1,This is perfect.  Trying to blackmail a public platform to conform to your social agenda is low.  But when that platform is owned by the richest person on the planet?  It is also ineffective.
@PaulBongiorno-v2l,0.0,2,"Doesn’t get old

Musk’s a stone cold G"
@something2027,0.3818,2,He knows the game and has absolute clear mind
@mistayg2788,0.0,0,
@robichj,0.4939,1,Trying to blackmail one of the richest men in the world with money is a pretty stupid idea.
@UpstateBeard,0.4395,1,"As insane as it is, I still like him.  Might not agree with everything he does, but still.....he's definitely a character."
@jestofreestone1,0.6696,0,Love it!
@adisusanto3127,0.0,1,"Blackmail is money , ..?"
@LordOfSweden,0.7351,1,Based musk. Imagine trying to money blackmail the richest man ON EARTH. lol
@RandallJacobs-bp8uw,-0.7717,2,"This moment is made even  more epic after one finds out how despicably they went after Elon with lies, and how it culminated to the frustration and anger Elon felt at that moment. Good for him."
@specialandroid1603,-0.2755,2,He is going to end up in relative obscurity soon. His ego wont like that.
@johnnybro4348,0.8309,1,"Laugh! Laugh at him!  He really said that thinking he was cooking, instead he got burned."
@guy-iw1gd,0.0,0,I  it!!
@sebastianmisljenovicMS,0.4927,2,Put so nicely
@ITSONLYMEWATCHING,0.6988,0,Love it!!
@janetsamples1183,0.6988,0,Love it!!
@FieldTripChaperone,-0.2732,2,go drop in with a rip stick
@amygraham2478,0.7762,0,I hope it is! Yes!!! Looooool.
@aminebekkali677,0.2023,0,Top G
